Barangay,Recyclable_2019,Biodegradable_2019,Residual_2019,Special_2019,Total_2019,Recyclable_2015,Biodegradable_2015,Residual_2015,Special_2015,Total_2015,waste_type ,2015,2019
Abuno,  490.1 ,  343.1 ,"  1,543.9 ",  73.5 ,"  2,450.6 ",  774.6 ,"  1,839.7 ",  581.0 ,  64.6 ,"  3,227.6 ",Recyclable,"47,662.53","30,656.85"
Acmac,  575.6 ,  402.9 ,"  1,813.0 ",  86.3 ,"  2,877.8 ",  909.7 ,"  2,160.4 ",  682.2 ,  75.8 ,"  3,790.3 ",Biodegradable,"114,685.71","21,459.79"
Bagong Silang,  617.4 ,  432.2 ,"  1,944.7 ",  92.6 ,"  3,086.9 ",  975.8 ,"  2,317.4 ",  731.8 ,  81.3 ,"  4,065.7 ",Residual,"36,179.40","96,569.07"
Bonbonon,  199.8 ,  139.9 ,  629.5 ,  30.0 ,  999.2 ,  315.8 ,  750.1 ,  236.9 ,  26.3 ,"  1,316.0 ",Special,"3,358.92","4,598.53"
Bunawan,  170.3 ,  119.2 ,  536.5 ,  25.5 ,  851.6 ,  269.2 ,  639.3 ,  201.9 ,  22.4 ,"  1,121.6 ",,,
Buru-un,"  1,414.3 ",  990.0 ,"  4,455.2 ",  212.2 ,"  7,071.7 ","  2,235.3 ","  5,308.9 ","  1,676.5 ",  186.3 ,"  9,313.9 ",,,
Dalipuga,"  1,803.2 ","  1,262.2 ","  5,680.0 ",  270.5 ,"  9,015.9 ","  2,849.9 ","  6,768.5 ","  2,137.4 ",  237.5 ,"  11,874.6 ",,,
Del Carmen,  812.1 ,  568.5 ,"  2,558.2 ",  121.8 ,"  4,060.6 ","  1,283.6 ","  3,048.5 ",  962.7 ,  107.0 ,"  5,348.2 ",,,
Digkilaan,  484.3 ,  339.0 ,"  1,525.5 ",  72.6 ,"  2,421.5 ",  765.4 ,"  1,817.9 ",  574.1 ,  63.8 ,"  3,189.2 ",,,
Ditucalan,  338.8 ,  237.2 ,"  1,067.3 ",  50.8 ,"  1,694.1 ",  535.5 ,"  1,271.8 ",  401.6 ,  44.6 ,"  2,231.3 ",,,
Dulag,  99.4 ,  69.6 ,  313.1 ,  14.9 ,  496.9 ,  157.1 ,  373.1 ,  117.8 ,  13.1 ,  654.5 ,,,
Hinaplanon,"  1,295.5 ",  906.9 ,"  4,080.9 ",  194.3 ,"  6,477.6 ","  2,047.6 ","  4,862.9 ","  1,535.7 ",  170.6 ,"  8,531.5 ",,,
Hindang,  80.4 ,  56.3 ,  253.1 ,  12.1 ,  401.8 ,  127.0 ,  301.6 ,  95.3 ,  10.6 ,  529.2 ,,,
Kabacsanan,  198.4 ,  138.9 ,  625.1 ,  29.8 ,  992.2 ,  313.6 ,  744.9 ,  235.2 ,  26.1 ,"  1,306.8 ",,,
Kalilangan,  144.0 ,  100.8 ,  453.6 ,  21.6 ,  720.0 ,  227.6 ,  540.5 ,  170.7 ,  19.0 ,  948.2 ,,,
Kiwalan,  647.6 ,  453.3 ,"  2,040.1 ",  97.1 ,"  3,238.2 ","  1,023.6 ","  2,431.0 ",  767.7 ,  85.3 ,"  4,264.9 ",,,
Lanipao,  242.9 ,  170.0 ,  765.1 ,  36.4 ,"  1,214.4 ",  383.9 ,  911.7 ,  287.9 ,  32.0 ,"  1,599.5 ",,,
Luinab,  932.6 ,  652.8 ,"  2,937.6 ",  139.9 ,"  4,662.9 ","  1,473.9 ","  3,500.6 ","  1,105.5 ",  122.8 ,"  6,141.4 ",,,
Mahayahay,  669.4 ,  468.6 ,"  2,108.5 ",  100.4 ,"  3,346.8 ","  1,057.9 ","  2,512.6 ",  793.4 ,  88.2 ,"  4,408.0 ",,,
Mainit,  226.3 ,  158.4 ,  712.9 ,  33.9 ,"  1,131.6 ",  357.7 ,  849.5 ,  268.3 ,  29.8 ,"  1,490.4 ",,,
