Barangay,Longitude,Latitude,Recyclable_2019,Biodegradable_2019,Residual_2019,Special_2019,Total_2019,Recyclable_2015,Biodegradable_2015,Residual_2015,Special_2015,Total_2015,waste_type ,2015,2019
Abuno,124.2798,8.2715,  490.1 ,  343.1 ,"  1,543.9 ",  73.5 ,"  2,450.6 ",  774.6 ,"  1,839.7 ",  581.0 ,  64.6 ,"  3,227.6 ",Recyclable,"47,662.53","30,656.85"
Acmac,124.2236,8.2081,  575.6 ,  402.9 ,"  1,813.0 ",  86.3 ,"  2,877.8 ",  909.7 ,"  2,160.4 ",  682.2 ,  75.8 ,"  3,790.3 ",Biodegradable,"114,685.71","21,459.79"
Bagong Silang,124.2426,8.2255,  617.4 ,  432.2 ,"  1,944.7 ",  92.6 ,"  3,086.9 ",  975.8 ,"  2,317.4 ",  731.8 ,  81.3 ,"  4,065.7 ",Residual,"36,179.40","96,569.07"
Bonbonon,124.2739,8.2293,  199.8 ,  139.9 ,  629.5 ,  30.0 ,  999.2 ,  315.8 ,  750.1 ,  236.9 ,  26.3 ,"  1,316.0 ",Special,"3,358.92","4,598.53"
Bunawan,124.2173,8.3154,  170.3 ,  119.2 ,  536.5 ,  25.5 ,  851.6 ,  269.2 ,  639.3 ,  201.9 ,  22.4 ,"  1,121.6 ",,,
Buru-un,124.2047,8.2264,"  1,414.3 ",  990.0 ,"  4,455.2 ",  212.2 ,"  7,071.7 ","  2,235.3 ","  5,308.9 ","  1,676.5 ",  186.3 ,"  9,313.9 ",,,
Dalipuga,124.2259,8.2968,"  1,803.2 ","  1,262.2 ","  5,680.0 ",  270.5 ,"  9,015.9 ","  2,849.9 ","  6,768.5 ","  2,137.4 ",  237.5 ,"  11,874.6 ",,,
Del Carmen,124.2474,8.236,  812.1 ,  568.5 ,"  2,558.2 ",  121.8 ,"  4,060.6 ","  1,283.6 ","  3,048.5 ",  962.7 ,  107.0 ,"  5,348.2 ",,,
Digkilaan,124.3121,8.3596,  484.3 ,  339.0 ,"  1,525.5 ",  72.6 ,"  2,421.5 ",  765.4 ,"  1,817.9 ",  574.1 ,  63.8 ,"  3,189.2 ",,,
Ditucalan,124.2592,8.269,  338.8 ,  237.2 ,"  1,067.3 ",  50.8 ,"  1,694.1 ",  535.5 ,"  1,271.8 ",  401.6 ,  44.6 ,"  2,231.3 ",,,
